t,x,y,yaw,v
0.0000,5.0014,5.0000,0.000336,0.0700
0.0200,5.0042,5.0000,0.001009,0.1400
0.0400,5.0084,5.0000,0.002019,0.2100
0.0600,5.0140,5.0000,0.003365,0.2800
0.0800,5.0210,5.0001,0.005047,0.3500
0.1000,5.0294,5.0001,0.007066,0.4200
0.1200,5.0392,5.0002,0.009421,0.4900
0.1400,5.0504,5.0004,0.012113,0.5600
0.1600,5.0630,5.0005,0.015141,0.6300
0.1800,5.0770,5.0008,0.018506,0.7000
0.2000,5.0924,5.0011,0.022207,0.7700
0.2200,5.1092,5.0016,0.026245,0.8400
0.2400,5.1274,5.0021,0.030619,0.9100
0.2600,5.1470,5.0028,0.035329,0.9800
0.2800,5.1679,5.0037,0.040376,1.0500
0.3000,5.1903,5.0047,0.045760,1.1200
0.3200,5.2141,5.0059,0.051480,1.1900
0.3400,5.2393,5.0074,0.057536,1.2600
0.3600,5.2658,5.0091,0.063929,1.3300
0.3800,5.2937,5.0111,0.070658,1.4000
0.4000,5.3230,5.0133,0.077724,1.4700
0.4200,5.3537,5.0160,0.085126,1.5400
0.4400,5.3858,5.0189,0.092865,1.6100
0.4600,5.4192,5.0223,0.100940,1.6800
0.4800,5.4540,5.0262,0.109352,1.7500
0.5000,5.4902,5.0304,0.118100,1.8200
0.5200,5.5276,5.0352,0.127185,1.8900
0.5400,5.5665,5.0406,0.136606,1.9600
0.5600,5.6066,5.0465,0.146364,2.0300
0.5800,5.6481,5.0530,0.156458,2.1000
0.6000,5.6909,5.0602,0.166888,2.1700
0.6200,5.7350,5.0682,0.177655,2.2400
0.6400,5.7804,5.0768,0.188759,2.3100
0.6600,5.8271,5.0863,0.200199,2.3800
0.6800,5.8750,5.0966,0.211975,2.4500
0.7000,5.9241,5.1078,0.224088,2.5200
0.7200,5.9745,5.1199,0.236537,2.5900
0.7400,6.0260,5.1330,0.247509,2.6600
0.7600,6.0789,5.1468,0.256431,2.7300
0.7800,6.1329,5.1615,0.265580,2.8000
0.8000,6.1881,5.1771,0.274957,2.8700
0.8200,6.2446,5.1936,0.284562,2.9400
0.8400,6.3022,5.2111,0.294393,3.0100
0.8600,6.3609,5.2296,0.304451,3.0800
0.8800,6.4208,5.2491,0.314735,3.1500
0.9000,6.4819,5.2696,0.325246,3.2200
0.9200,6.5440,5.2913,0.335982,3.2900
0.9400,6.6072,5.3142,0.346945,3.3600
0.9600,6.6714,5.3382,0.358132,3.4300
0.9800,6.7367,5.3635,0.369544,3.5000
1.0000,6.8030,5.3899,0.378859,3.5700
1.0200,6.8704,5.4175,0.388355,3.6400
1.0400,6.9388,5.4462,0.398031,3.7100
1.0600,7.0082,5.4762,0.407888,3.7800
1.0800,7.0788,5.5071,0.412357,3.8500
1.1000,7.1505,5.5388,0.416905,3.9200
1.1200,7.2233,5.5715,0.421533,3.9900
1.1400,7.2972,5.6051,0.426240,4.0600
1.1600,7.3722,5.6396,0.431026,4.1300
1.1800,7.4484,5.6750,0.435890,4.2000
1.2000,7.5256,5.7115,0.440833,4.2700
1.2200,7.6039,5.7490,0.446917,4.3400
1.2400,7.6832,5.7876,0.453098,4.4100
1.2600,7.7635,5.8273,0.459374,4.4800
1.2800,7.8448,5.8682,0.465746,4.5500
1.3000,7.9271,5.9102,0.472213,4.6200
1.3200,8.0104,5.9534,0.478776,4.6900
1.3400,8.0950,5.9970,0.475705,4.7600
1.3600,8.1810,6.0410,0.472591,4.8300
1.3800,8.2679,6.0863,0.480387,4.9000
1.4000,8.3557,6.1329,0.488291,4.9700
1.4200,8.4443,6.1809,0.496300,5.0400
1.4400,8.5338,6.2303,0.504416,5.1100
1.4600,8.6241,6.2811,0.512636,5.1800
1.4800,8.7152,6.3334,0.520962,5.2500
1.5000,8.8070,6.3871,0.529391,5.3200
1.5200,8.8996,6.4423,0.536986,5.3900
1.5400,8.9930,6.4988,0.544676,5.4600
1.5600,9.0872,6.5569,0.552460,5.5300
1.5800,9.1826,6.6155,0.550471,5.6000
1.6000,9.2794,6.6746,0.548459,5.6700
1.6200,9.3775,6.7343,0.546424,5.7400
1.6400,9.4769,6.7944,0.544366,5.8100
1.6600,9.5773,6.8556,0.546677,5.8800
1.6800,9.6789,6.9177,0.549015,5.9500
1.7000,9.7814,6.9807,0.551379,6.0200
1.7200,9.8850,7.0448,0.553768,6.0900
1.7400,9.9889,7.1110,0.567421,6.1585
1.7600,10.0938,7.1781,0.569182,6.2255
1.7800,10.1996,7.2461,0.570960,6.2912
1.8000,10.3064,7.3150,0.572754,6.3554
1.8200,10.4142,7.3847,0.574564,6.4182
1.8400,10.5229,7.4554,0.576390,6.4797
1.8600,10.6324,7.5269,0.578230,6.5399
1.8800,10.7434,7.5983,0.571769,6.5988
1.9000,10.8558,7.6696,0.565258,6.6564
1.9200,10.9696,7.7407,0.558698,6.7128
1.9400,11.0849,7.8117,0.552093,6.7680
1.9600,11.2015,7.8825,0.545443,6.8219
1.9800,11.3195,7.9531,0.538750,6.8748
2.0000,11.4389,8.0233,0.532017,6.9264
2.0200,11.5600,8.0927,0.520248,6.9770
2.0400,11.6828,8.1611,0.508407,7.0264
2.0600,11.8072,8.2285,0.496498,7.0748
2.0800,11.9332,8.2949,0.484524,7.1222
2.1000,12.0609,8.3601,0.472489,7.1685
2.1200,12.1901,8.4242,0.460395,7.2138
2.1400,12.3202,8.4886,0.459695,7.2581
2.1600,12.4511,8.5533,0.458991,7.3014
2.1800,12.5829,8.6183,0.458283,7.3438
2.2000,12.7154,8.6835,0.457572,7.3852
2.2200,12.8486,8.7491,0.456858,7.4258
2.2400,12.9827,8.8148,0.456142,7.4654
2.2600,13.1175,8.8808,0.455423,7.5042
2.2800,13.2530,8.9471,0.454701,7.5421
2.3000,13.3892,9.0136,0.453977,7.5792
2.3200,13.5257,9.0811,0.459676,7.6154
2.3400,13.6625,9.1498,0.465396,7.6509
2.3600,13.7994,9.2196,0.471135,7.6856
2.3800,13.9366,9.2904,0.476892,7.7194
2.4000,14.0739,9.3624,0.482667,7.7526
